level,exp_required_to_next_level,swordie_rule,source
207,4879032378,previous * 1.12,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
208,5464516263,previous * 1.12,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
209,6120258214,previous * 1.12,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
210,9792413142,previous * 1.60,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
211,10869578587,previous * 1.11,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
212,12065232231,previous * 1.11,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
213,13392407776,previous * 1.11,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
214,14865572631,previous * 1.11,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
215,19325244420,previous * 1.30,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
216,21064516417,previous * 1.09,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
217,22960322894,previous * 1.09,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
218,25026751954,previous * 1.09,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
219,27279159629,previous * 1.09,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
220,43646655406,previous * 1.60,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
221,46701921284,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
222,49971055773,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
223,53469029677,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
224,57211861754,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
225,74375420280,previous * 1.30,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
226,78094191294,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
227,81998900858,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
228,86098845900,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
229,90403788195,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
230,144646061112,previous * 1.60,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
231,148985442945,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
232,153455006233,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
233,158058656419,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
234,162800416111,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
235,211640540944,previous * 1.30,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
236,217989757172,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
237,224529449887,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
238,231265333383,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
239,238203293384,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
240,381125269414,previous * 1.60,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
241,392559027496,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
242,404335798320,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
243,416465872269,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
244,428959848437,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
245,557647802968,previous * 1.30,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
246,574377237057,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
247,591608554168,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
248,609356810793,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
249,627637515116,previous * 1.03,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
250,1313764762354,"hardcoded 1,313,764,762,354",https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
251,1326902409977,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
252,1340171434076,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
253,1353573148416,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
254,1367108879900,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
255,1380779968699,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
256,1394587768385,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
257,1408533646068,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
258,1422618982528,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
259,1436845172353,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
260,2902427248153,previous * 2.02 (implemented as 1.01 + 1.01),https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
261,2931451520634,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
262,2960766035840,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
263,2990373696198,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
264,3020277433159,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
265,3050480207490,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
266,3080985009564,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
267,3111794859659,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
268,3142912808255,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
269,3174341936337,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
270,6412170711400,previous * 2.02 (implemented as 1.01 + 1.01),https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
271,6476292418514,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
272,6541055342699,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
273,6606465896125,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
274,6672530555086,previous * 1.01,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
275,13478511721273,previous * 2.02,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
276,14826362893400,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
277,16308999182740,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
278,17939899101014,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
279,19733889011115,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
280,39862455802452,previous * 2.02,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
281,43848701382697,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
282,48233571520966,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
283,53056928673062,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
284,58362621540368,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
285,117892495511543,previous * 2.02,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
286,129681745062697,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
287,142649919568966,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
288,156914911525862,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
289,172606402678448,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
290,348664933410464,previous * 2.02,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
291,383531426751510,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
292,421884569426661,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
293,464073026369327,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
294,510480329006259,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
295,1031170264592643,previous * 2.02,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
296,1134287291051907,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
297,1247716020157097,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
298,1372487622172806,previous * 1.10,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
299,2058731433259209,previous * 1.50,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
300,,level cap; no next-level EXP entry,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
